Uni,Studenten insgesamt,Anzahl Masterstudenten,Anzahl Lehre durch Praktiker,Anzahl Lehre durch Praktiker (im Master),Unterstützung am Studienanfang,Abschlüsse in angemessener Zeit,Abschlüsse in angemessener Zeit (Master),Abschlüsse in kooperation mit der Praxis,Abschlüsse in kooperation mit der Praxis (Master),Veröffentlichungen pro Wissenschaftler,Forschungsgelder je Wissenschaftler,Promotionen pro Professor,Betreuung durch Lehrende,Unterstützung im Studium,Lehrangebot,Studienorganisation,"Prüfungen (Wiederholbarkeit, Termine, ...)",Wissenschaftsbezug,Angebot zur Berufsorientierung,Unterstützung Auslandsstudium,Räume,Bibliotheksausstattung,IT-Infrastruktur,Ausstattung der Arbeitsplätze,Allgemeine Studiensituation
RWTH Aachen: 0.6760380280107043,4420.0,1430.0,0.0,50.0,1214.0,603.0,355.0,47.0,118.0,49.0,1720.0,13.0,19.0,18.0,18.0,16.0,18.0,18.0,22.0,16.0,17.0,15.0,16.0,22.0,16.0
Uni Augsburg: 0.6869766645748177,1720.0,250.0,8.0,2.0,1014.0,640.0,494.0,156.0,150.0,39.0,433.0,7.0,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein,Rücklaufquote zu klein
Uni Bamberg: 0.7197273558602163,940.0,490.0,77.0,77.0,1114.0,867.0,371.0,keine Angabe,keine Angabe,27.0,263.0,3.0,19.0,18.0,20.0,15.0,20.0,20.0,23.0,18.0,14.0,14.0,22.0,21.0,17.0
Uni Bayreuth: 0.7343758145696833,750.0,150.0,0.0,0.0,1114.0,605.0,10.0,24.0,55.0,34.0,281.0,3.0,Ranggruppe nicht eindeutig zuweisbar,26.0,27.0,19.0,25.0,31.0,Ranggruppe nicht eindeutig zuweisbar,15.0,16.0,Ranggruppe nicht eindeutig zuweisbar,20.0,22.0,Ranggruppe nicht eindeutig zuweisbar
FU Berlin: 0.6081232761066532,1770.0,430.0,keine Angabe,keine Angabe,1114.0,337.0,229.0,keine Angabe,keine Angabe,25.0,1752.0,11.0,24.0,21.0,26.0,17.0,22.0,25.0,31.0,20.0,20.0,18.0,19.0,19.0,23.0
HU Berlin: 0.6760224412260141,1300.0,250.0,50.0,50.0,1014.0,442.0,222.0,keine Angabe,keine Angabe,30.0,1069.0,10.0,22.0,23.0,25.0,20.0,21.0,25.0,Ranggruppe nicht eindeutig zuweisbar,Ranggruppe nicht eindeutig zuweisbar,17.0,15.0,18.0,19.0,Ranggruppe nicht eindeutig zuweisbar
TU Berlin: 0.646066768620281,3060.0,870.0,,,es liegen keine Daten vor,492.0,393.0,,,57.0,keine Angaben,10.0,,,,,,,,,,,,,
Uni Bielefeld: 0.5686870312404696,1210.0,260.0,keine Angabe,keine Angabe,1114.0,696.0,526.0,96.0,keine Angabe,35.0,3182.0,18.0,24.0,24.0,24.0,17.0,22.0,25.0,Ranggruppe nicht eindeutig zuweisbar,20.0,25.0,19.0,18.0,19.0,Ranggruppe nicht eindeutig zuweisbar
Uni Bochum: 0.6485888138605642,670.0,180.0,0.0,20.0,1014.0,630.0,358.0,147.0,82.0,kein eigener Fachbereich Informatik,Drittmittel nicht von anderen Fächern abzugrenzen.,kein eigener Fachbereich Informatik,24.0,22.0,23.0,17.0,22.0,Ranggruppe nicht eindeutig zuweisbar,25.0,Ranggruppe nicht eindeutig zuweisbar,24.0,Ranggruppe nicht eindeutig zuweisbar,23.0,22.0,22.0
Uni Bonn: 0.6677970354278896,2040.0,600.0,100.0,100.0,914.0,528.0,415.0,keine Angabe,keine Angabe,32.0,675.0,11.0,21.0,21.0,21.0,17.0,19.0,22.0,26.0,20.0,13.0,17.0,19.0,20.0,19.0
